index,smiles,oxidation_potential,reduction_potential
290,CC1(CCCO)CC1,,
291,CC[C@@H](C)C1(CC1)O,4.521781849340695,-4.095735625228772
292,C[C@@H](CO)C1(C)CC1,4.189126260590055,-5.073125959928293
293,CC1(CCCC1)OC,4.546947789453552,-5.15247962925736
294,CC1(CCCC1)CO,3.7075178350083293,-4.179233072619755
295,C[C@@H](C1(C)CC1)OC,4.634363678797453,-5.104898671706397
296,CC[C@H](C1(C)CC1)O,5.393535548281361,-4.7744722457823086
297,CC[C@@]1(C)CCCO1,,
298,CCC1(CCCC1)O,3.952982586396101,-4.353005678878108
299,CC[C@@]1(C)CCOC1,4.347056491753901,-5.0504893491410625
300,CC[C@H]1C[C@@]1(CC)O,,
301,CC[C@@H]1[C@@](C)(CC)O1,,
302,CC[C@H]1C[C@]1(C)OC,4.766753348938946,-4.931014955006904
303,CC[C@@]1(C)C[C@H]1CO,4.552465950839687,-4.971902774599076
304,CC[C@@]1(C)CO[C@H]1C,,
305,CC[C@H]1C[C@]1(C)CO,4.6263197852954905,-4.873108992110647
306,CC[C@@]1(C)C[C@H]1OC,4.947544118721052,-4.844534212453655
307,CC[C@]1(C)[C@H](C)CO1,5.373153265620712,
308,CC[C@@]1(C)CC[C@H]1O,,
309,CC[C@]1(CC[C@H]1C)O,3.6255533252138408,-3.8963013907954887
310,C[C@H]1CC[C@]1(C)CO,5.092110119163917,-4.598853905741126
311,C[C@@H]1CC[C@]1(C)OC,,
312,CCCC[C@@H](C)C=O,,
313,CC[C@@H](C)CCC=O,,
314,CCCCC(=O)CC,,
315,c1(c(C(=N)O)[nH]nn1)C(=N)O,4.818967710040451,-5.826656809814668
316,c1cnnc(n1)O,4.336802881198818,-5.47721698921072
317,c1c(nncn1)O,3.225053952587186,-5.685267947133471
318,C(CO)O,4.395144582219072,-4.764018482360771
319,COCO,,
320,COOC,,
321,CCOO,,
322,C#CC(=O)C(=O)O,,
323,C(#CC(=O)O)C=O,3.763482807231921,-6.032183827915506
324,C(=O)C(=O)C(=O)O,,
325,C1=COOC(=O)O1,,
326,C(=COC(=O)O)=O,,
327,C(#COC(=O)O)O,3.6036740250079307,-6.153018414064209
328,C1OC(=O)C(=O)O1,,
329,C1C(=O)OC(=O)O1,,
330,C#CC#CC#CCO,,
331,CC(C)C1(CC1)OC,,
332,C(=O)COCC=O,,
333,C1COC(C=O)O1,,
334,C1CC1OC(=O)O,3.880929766285189,-5.33314171021033
335,C1[C@H]2OC[C@@H](O1)O2,,
336,C=CCOC(=O)O,,
337,C(=O)CO[C@H]1CO1,,
338,C1COC(=O)CO1,,
339,COC(=O)[C@H]1CO1,,
340,CCC(=O)C(=O)O,,
341,CC(=O)CC(=O)O,4.767990297378273,
342,C1CC1(C(=O)O)O,,-6.347951786415652
343,C1[C@H]([C@H]1O)C(=O)O,,
344,C1C(CO1)C(=O)O,,
345,C(CC(=O)O)C=O,,-6.462248448491155
346,C=COC(=O)OC,4.171804705853501,-5.319542924218186
347,[CH]COC(=O)OC,4.268601823431308,-5.059456917907883
348,C[C@@H]1COC(=O)O1,4.415917725868494,-6.429561090118514
349,C([C@H]1CO1)C(=O)O,,-6.231071969264522
350,C1CO[C@H]1C(=O)O,4.715837016081932,-4.794717237567457
351,[C@@H]1([C@H]([C@@H]2[C@H]1O2)O)O,,
352,C[C@H]1[C@@H](C(=O)O)O1,4.3010311270596135,-5.165243393068013
353,C(=O)[C@H]1[C@H](CO1)O,3.524733154225541,
354,C([C@H]1COC1=O)O,,
355,C[C@@]1(CO1)C(=O)O,4.569690785273051,-4.935492292062409
356,C1C(=O)CO[C@H]1O,,
357,C(C=O)[C@H](C=O)O,4.378133937718812,-4.568515546864947
358,C([C@@H]1C(=O)CO1)O,,
359,C1[C@@H]2[C@H]([C@@H](O)O1)O2,4.697273085447304,-4.903617101368073
360,C1[C@H]([C@H](C1=O)O)O,4.542482891406107,-5.047269057676604
361,C1[C@@H]([C@]1(C=O)O)O,,
362,C1C(CO1)OC=O,,
363,COC(=O)CC=O,4.7163951151892975,
364,C(C=O)C(=O)CO,,-4.871864095879064
365,C[C@@H](C=O)C(=O)O,3.947810483751309,-5.9149168922026005
366,C1COC(=O)OC1,4.916906361052097,-5.058831181576752
367,C[C@]1(COC1=O)O,5.370162565980135,-5.4232327689109665
368,C[C@@H]1[C@@H](C(=O)O1)O,4.907943887350993,-5.103657588131173
369,C(C(=O)[C@H]1CO1)O,,
370,C[C@H]1OCC(=O)O1,4.236940166582426,
371,C=C(O)OCC=O,,
372,C(=O)COC[C]O,,
373,C=C(C)OC(=O)O,,
374,C=COC([CH])(O)O,,
375,C=CO/C(=C/O)/O,,
376,C(#CC=O)CN,,
377,C#CCC(=N)O,,
378,c1cc([nH]c1)O,,
